isActive,balance,age,eyeColor,name,gender,company,email,phone,address
False,"$3,960.64",30,blue,Dawn Keith,female,COSMOSIS,dawnkeith@cosmosis.com,+1 (839) 437-3421,"392 Clifford Place, Fontanelle, Arizona, 2687"
False,"$1,280.14",31,green,Bettie Eaton,female,COMTREK,bettieeaton@comtrek.com,+1 (861) 460-2317,"203 Allen Avenue, Elrama, North Carolina, 4453"
True,"$2,042.37",38,green,Margie Ayala,female,VOIPA,margieayala@voipa.com,+1 (941) 569-2231,"111 Schroeders Avenue, Suitland, Louisiana, 7042"
False,"$3,170.35",37,blue,Baker Townsend,male,EVIDENDS,bakertownsend@evidends.com,+1 (808) 500-2793,"190 Just Court, Canoochee, Alabama, 325"
False,"$1,402.05",29,blue,Annmarie Atkinson,female,MEDESIGN,annmarieatkinson@medesign.com,+1 (928) 524-3812,"757 Beaumont Street, Santel, West Virginia, 3370"
False,"$1,404.23",26,blue,Stark Jenkins,male,HINWAY,starkjenkins@hinway.com,+1 (943) 542-3591,"766 Cooke Court, Dunbar, Connecticut, 9512"
False,"$1,247.08",36,green,Odonnell Rollins,male,NEXGENE,odonnellrollins@nexgene.com,+1 (810) 521-2350,"210 Pleasant Place, Lloyd, Mississippi, 1636"
False,"$2,284.89",20,brown,Rachelle Chang,female,VERAQ,rachellechang@veraq.com,+1 (955) 564-2002,"220 Drew Street, Ventress, Puerto Rico, 8432"
True,"$1,624.60",39,brown,Davis Wade,male,ASSISTIX,daviswade@assistix.com,+1 (836) 432-2542,"532 Amity Street, Yukon, Palau, 3561"
True,"$3,818.97",23,green,Oneill Everett,male,INCUBUS,oneilleverett@incubus.com,+1 (958) 522-2724,"273 Temple Court, Shelby, Georgia, 8682"
False,"$3,243.63",21,brown,Dalton Waters,male,OVATION,daltonwaters@ovation.com,+1 (899) 464-3878,"909 Wyona Street, Adelino, Hawaii, 6449"
False,"$3,125.30",37,green,Howard Serrano,male,INJOY,howardserrano@injoy.com,+1 (829) 406-3577,"887 Willoughby Street, Wyoming, American Samoa, 6237"
True,"$2,891.79",34,brown,Mills Reyes,male,LUXURIA,millsreyes@luxuria.com,+1 (983) 423-3866,"793 Tabor Court, Coultervillle, Colorado, 4179"
False,"$2,636.88",34,green,Pearl Coffey,female,IPLAX,pearlcoffey@iplax.com,+1 (891) 470-3257,"411 Verona Place, Franklin, Arkansas, 9044"
True,"$1,579.74",24,brown,Tommie Chase,female,UBERLUX,tommiechase@uberlux.com,+1 (828) 497-2089,"705 Halsey Street, Datil, Florida, 7036"
False,"$3,749.56",32,green,Frost Mayer,male,SYNKGEN,frostmayer@synkgen.com,+1 (883) 461-2362,"558 Tapscott Avenue, Vernon, Washington, 807"
True,"$1,921.51",24,green,Mercado Sweeney,male,TASMANIA,mercadosweeney@tasmania.com,+1 (976) 490-3620,"799 Jefferson Street, Cuylerville, Delaware, 4823"
True,"$2,007.78",38,brown,Potts Humphrey,male,PASTURIA,pottshumphrey@pasturia.com,+1 (975) 549-2709,"819 Scott Avenue, Brutus, Missouri, 2819"
False,"$1,860.16",30,green,Garrison Richardson,male,KIGGLE,garrisonrichardson@kiggle.com,+1 (858) 402-2835,"572 Woodpoint Road, Kempton, Minnesota, 2645"
True,"$1,611.65",40,green,Owen Hood,male,POSHOME,owenhood@poshome.com,+1 (984) 464-2373,"195 Cass Place, Siglerville, Montana, 9548"
True,"$2,385.82",35,green,Erna Cline,female,ARCHITAX,ernacline@architax.com,+1 (921) 525-2437,"153 Autumn Avenue, Veguita, South Carolina, 743"
False,"$2,090.31",36,green,Benita Barr,female,SLOFAST,benitabarr@slofast.com,+1 (831) 525-2895,"885 Seton Place, Steinhatchee, Kentucky, 1146"
True,"$3,837.05",35,blue,Milagros Cochran,female,FLUMBO,milagroscochran@flumbo.com,+1 (878) 534-2114,"273 Ludlam Place, Darrtown, Northern Mariana Islands, 8800"
False,"$1,684.98",32,blue,Roseann Cummings,female,DATAGENE,roseanncummings@datagene.com,+1 (839) 580-2646,"844 Sands Street, Brady, Iowa, 5320"
False,"$1,485.37",23,brown,Stuart Hubbard,male,ZYTREK,stuarthubbard@zytrek.com,+1 (992) 531-3322,"978 Baycliff Terrace, Caberfae, Wyoming, 1363"
True,"$3,704.58",32,brown,Tonia Whitley,female,QIMONK,toniawhitley@qimonk.com,+1 (850) 558-3418,"622 Lloyd Street, Hampstead, Kansas, 4635"
False,"$2,719.44",34,brown,Burris Herman,male,IDETICA,burrisherman@idetica.com,+1 (853) 523-3393,"739 Village Court, Driftwood, New York, 5476"
False,"$1,335.04",33,brown,Minnie Sanchez,female,ZOLAR,minniesanchez@zolar.com,+1 (937) 497-3711,"759 Prince Street, Dubois, Guam, 5099"
True,"$1,029.91",38,blue,Francis Shannon,male,QUILM,francisshannon@quilm.com,+1 (923) 482-2721,"711 Hubbard Street, Wheatfields, Ohio, 4944"
False,"$3,495.58",24,blue,Webster Sanders,male,HALAP,webstersanders@halap.com,+1 (883) 536-2259,"300 Jewel Street, Sugartown, Federated States Of Micronesia, 9305"
False,"$3,739.40",36,green,Osborne Guzman,male,OPPORTECH,osborneguzman@opportech.com,+1 (876) 577-3338,"146 Polar Street, Linganore, Illinois, 8549"
True,"$1,908.64",39,brown,Deleon Bass,male,GEOFORM,deleonbass@geoform.com,+1 (836) 519-2274,"534 Grimes Road, Calvary, Virginia, 3901"
True,"$2,041.17",28,brown,Juana Puckett,female,SIGNIDYNE,juanapuckett@signidyne.com,+1 (941) 554-2284,"610 Crawford Avenue, Guthrie, Nevada, 1300"
False,"$3,434.48",25,green,Juliette Slater,female,SHOPABOUT,julietteslater@shopabout.com,+1 (906) 446-2149,"242 Arkansas Drive, Homeland, South Dakota, 3032"
True,"$1,424.09",39,blue,Tillman Nixon,male,PULZE,tillmannixon@pulze.com,+1 (933) 470-2926,"608 Oriental Court, Lemoyne, New Hampshire, 4285"
